Ticker With Exchange,Ticker Without Exchange,CQ Start Date,CQ,Filing Date,Total COGS (GAAP Costs),S&M (GAAP Costs),R&D (GAAP Costs),G&A (GAAP Costs),Total COGS (SBC),S&M (SBC),R&D (SBC),G&A (SBC),Capitalized Software Development,# Customers,Implied ARR (Annualized Revenue Run-Rate),S&M (Non-GAAP P&L Output),% YoY Professional Services Revenue Growth,% YoY Other Revenue Growth,% YoY Total Revenue Growth,% YoY Implied ARR Growth,% YoY Reported ARR Growth,% Professional Services Gross Margin,% Other Gross Margin,% Total Gross Margin,S&M % of Revenue,R&D % of Revenue,G&A % of Revenue,OpEx % of Revenue,% Operating Income Margin,% FCF Margin,Magic Number,Payback Period,% Professional Services Revenue,% Other Revenue,% of Revenue from North America / US,% Revenue from Rest of World,Annualized OpEx / FTE ($000s),LTM Professional Services Revenue,LTM Other Revenue,LTM Total Revenue,LTM Subscription Gross Profit,LTM Professional Services Gross Profit,LTM Total Gross Profit,LTM S&M,LTM R&D,LTM G&A,LTM OpEx,LTM Operating Income,LTM FCF,LTM % YoY Professional Services Revenue Growth,LTM % YoY Other Revenue Growth,LTM % Professional Services Gross Margin,LTM S&M % of Revenue,LTM R&D % of Revenue,LTM G&A % of Revenue,LTM OpEx % of Revenue,LTM % Operating Income Margin,LTM % FCF Margin,LTM Magic Number,LTM CAC Ratio,LTM Payback Period,LTM % Professional Services Revenue,LTM % Revenue from Rest of World,Total SBC % of Revenue,Row Number,Item #,Line Item,Value,Original String,Total Gross Profit,Cash Flow from Operations,FCF,Cash Balance,Implied Avg. ACVs,Basic Shares Outstanding,% YoY BSO Dilution,% YoY BSO Growth,LTM % YoY Total Revenue Growth,Rule of 40,Net New Implied ARR,Net New Implied ARR (1),ARR / FTE ($000s),Net Dollar Retention,LTM % YoY Total Revenue Growth (1),LTM % Total Gross Margin,LTM GAAP Total COGS,LTM GAAP Total Gross Profit,LTM GAAP S&M,LTM GAAP R&D,LTM GAAP G&A,LTM COGS SBC,LTM S&M SBC,LTM R&D SBC,LTM G&A SBC,% QoQ Implied ARR Growth,Total COGS (Non-GAAP P&L Output),Total OpEx (Non-GAAP P&L Output),GAAP Total COGS (Selected GAAP Metrics),GAAP Total OpEx(Selected GAAP Metrics),LTM GAAP Total COGS (1),LTM GAAP Total OpEx,LTM GAAP Total OpEx (1),LTM Net New Implied ARR,S&M (Non-GAAP P&L Output) (1),R&D (Non-GAAP P&L Output),G&A (Non-GAAP P&L Output),% Subscription Gross Margin,LTM % Subscription Gross Margin,LTM % Professional Services Gross Margin (1),LTM % Subscription Revenue,LTM % Professional Services Revenue (1),Total Revenue,Subscription Gross Profit (Non-GAAP P&L Output),Subscription Revenue,Operating Income,Reported ARR,LTM Total SBC % of Revenue,LTM Total SBC % of Revenue (1),Net New Implied ARR % YoY Growth,% Subscription Revenue
NASDAQ:MKTO,MKTO,2009-10-01 00:00:00,2009Q4,,,,,,,,,,,,,,,,,,NOT IN CURRENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65.0,NOT INPUTTED,8906.0,NOT INPUTTED,,,,8906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:MKTO,MKTO,2010-10-01 00:00:00,2010Q4,,,,,,,,,,,,,,,,,,NOT IN CURRENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65.0,NOT INPUTTED,34457.0,NOT INPUTTED,,,,34457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:MKTO,MKTO,2011-01-01 00:00:00,2011Q1,,3202.0,3970.0,2390.0,720.0,31.0,56.0,52.0,54.0,,,24396.0,3914.0,,,,,NOT IN CURRENT,-1.73271889400922,,0.480078701426463,0.641744548286604,0.38334153139859,0.109198229217905,1.1342843089031,-0.654205607476635,,,,0.0711592064272832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316445318904739,1,4.0,NOT INPUTTED,5665.0,NOT INPUTTED,2928.0,,,,,,,,,,,,,,,,,,,,,,,,,,3171.0,6918.0,3202.0,7080.0,,,,,3914.0,2338.0,666.0,0.649602824360106,,,,,6099.0,3680.0,5665.0,-3990.0,,,,,0.928840793572717
NASDAQ:MKTO,MKTO,2011-04-01 00:00:00,2011Q2,,3554.0,5325.0,2532.0,978.0,38.0,151.0,68.0,78.0,,,29732.0,5174.0,,,,,NOT IN CURRENT,-1.25773195876289,,0.526974303780439,0.69608502623436,0.331494685860352,0.121081662854837,1.14866137494955,-0.621687071169111,,1.36331119059785,16.7030894815549,0.0782994753127943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0450692856181892,1,4.0,NOT INPUTTED,6851.0,NOT INPUTTED,3917.0,,,,,,,,,,5336.0,5336.0,,,,,,,,,,,,,,0.218724381046073,3516.0,8538.0,3554.0,8835.0,,,,,5174.0,2464.0,900.0,0.678587067581375,,,,,7433.0,4649.0,6851.0,-4621.0,,,,,0.921700524687206
NASDAQ:MKTO,MKTO,2011-07-01 00:00:00,2011Q3,,3887.0,6311.0,2771.0,1503.0,41.0,143.0,72.0,107.0,,,34856.0,6168.0,,,,,NOT IN CURRENT,-1.06446991404011,,0.558641266926785,0.707826486114299,0.309731466605462,0.160201973835208,1.17775992655497,-0.619118659628185,,0.99033629686896,21.6902988305793,0.0801009869176039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0416571035115905,1,4.0,NOT INPUTTED,8016.0,NOT INPUTTED,4868.0,,,,,,,,,,5124.0,5124.0,,,,,,,,,,,,,,0.172339566796717,3846.0,10263.0,3887.0,10585.0,,,,,6168.0,2699.0,1396.0,0.6999750499002,,,,,8714.0,5611.0,8016.0,-5395.0,,,,,0.919899013082396
NASDAQ:MKTO,MKTO,2011-10-01 00:00:00,2011Q4,,4293.0,7482.0,2984.0,2953.0,47.0,159.0,102.0,110.0,,1000.0,40584.0,7323.0,,,,,NOT IN CURRENT,-0.824561403508772,,0.581509954661936,0.721762270845653,0.284052828700966,0.280208949339641,1.28602404888626,-0.704514094224325,,0.928664072632944,22.221094593315,0.0842696629213483,,,,,2569.0,,32392.0,20545.0,-2932.0,17613.0,22579.0,10383.0,5805.0,38767.0,-21154.0,,,,-1.14130011677696,0.69705482835268,0.320542109162756,0.179210916275624,1.19680785379106,-0.65306248456409,,,,,0.0793097061002717,,0.0411985018726592,1,4.0,NOT INPUTTED,9291.0,NOT INPUTTED,5900.0,,,67400.0,40.584,,,,,,5728.0,5728.0,,,,0.54374536922697,14936.0,17456.0,23088.0,10677.0,6154.0,157.0,509.0,294.0,349.0,0.164333256828093,4246.0,13048.0,4293.0,13419.0,14936.0,39919.0,39919.0,,7323.0,2882.0,2843.0,0.710903024432246,0.688897830533481,-1.14130011677696,0.920690293899728,0.0793097061002717,10146.0,6605.0,9291.0,-7148.0,,0.0404112126450976,0.0404112126450976,,0.915730337078652
NASDAQ:MKTO,MKTO,2012-01-01 00:00:00,2012Q1,,4940.0,7819.0,3835.0,2255.0,61.0,206.0,111.0,135.0,,,48844.0,7613.0,1.74193548387097,,1.00213149696672,1.00213149696672,NOT IN CURRENT,-0.490756302521008,,0.60044222422406,0.62345426255016,0.304970927851937,0.17361395463107,1.10203914503317,-0.501596920809107,-0.506756203423143,1.12795302471665,17.7181758558787,0.0974531160429121,,0.886495782491196,0.113504217508804,,3325.0,,38504.0,24781.0,-2764.0,22017.0,26278.0,11769.0,7259.0,45306.0,-23289.0,,,,-0.831278195488722,0.682474548098899,0.3056565551631,0.188525867442344,1.17665697070434,-0.604846249740287,,1.0827760308251,0.619142942828701,19.3816309125243,0.0863546644504467,,0.042011301285726,1,4.0,NOT INPUTTED,11021.0,NOT INPUTTED,7332.0,-5657.0,-6188.0,,,,,,,0.495375293543573,8260.0,8260.0,,,,0.571810720964056,16674.0,21830.0,26937.0,12122.0,7689.0,187.0,659.0,353.0,430.0,0.203528484131678,4879.0,13457.0,4940.0,13909.0,16674.0,46748.0,46748.0,24448.0,7613.0,3724.0,2120.0,0.71826513020597,0.704425935927684,-0.831278195488722,0.913645335549553,0.0863546644504467,12211.0,7916.0,11021.0,-6125.0,,0.0423072927488053,0.0423072927488053,,0.902546883957088
NASDAQ:MKTO,MKTO,2012-04-01 00:00:00,2012Q2,,5708.0,9788.0,5339.0,3020.0,98.0,217.0,170.0,236.0,,,55712.0,9535.0,1.66151202749141,,0.87380600026907,0.87380600026907,NOT IN CURRENT,-0.317624273724984,,0.597214244686961,0.684592188397473,0.366815048822516,0.198377369327972,1.24978460654796,-0.652570361860999,-0.559520390580126,0.902141074477867,22.2728930375747,0.1112148190695,,0.876866743251005,0.123133256748995,,4292.0,,44999.0,28942.0,-2524.0,26418.0,30639.0,14414.0,9122.0,54175.0,-27757.0,,,,-0.58807082945014,0.680881797373275,0.320318229293984,0.202715615902576,1.20391564256983,-0.616835929687326,,0.988659715351244,0.580422061826911,20.6746104071739,0.0953798973310518,,0.0517662263067203,1,4.0,NOT INPUTTED,12379.0,NOT INPUTTED,8318.0,-5942.0,-7793.0,,,,,,,0.314285609688944,6868.0,6868.0,,,,0.587079712882508,18828.0,26171.0,31400.0,14929.0,9731.0,247.0,725.0,455.0,588.0,0.140610924576202,5610.0,17407.0,5708.0,18147.0,18828.0,56060.0,56060.0,25980.0,9535.0,5109.0,2763.0,0.711689150981501,0.710983368953743,-0.58807082945014,0.904620102668948,0.0953798973310518,13928.0,8810.0,12379.0,-9089.0,,0.0447787728616191,0.0447787728616191,0.287106446776612,0.8887851809305
NASDAQ:MKTO,MKTO,2012-07-01 00:00:00,2012Q3,,6564.0,10844.0,4661.0,3086.0,105.0,377.0,110.0,334.0,,,61708.0,10424.0,0.952722063037249,,0.770369520312141,0.770369520312141,NOT IN CURRENT,-0.564196625091709,,0.581318467621702,0.675698450768134,0.29033512672587,0.176768004148571,1.14280158164257,-0.561483114020872,-0.589745251831205,0.62884111169376,32.8266223720958,0.0883515913657873,,0.870486808841641,0.129513191158359,,4957.0,,51712.0,33068.0,-2550.0,30518.0,34895.0,16194.0,10453.0,61542.0,-31024.0,,,,-0.514424046802502,0.674795018564356,0.313157487623762,0.202138768564356,1.19009127475248,-0.599938118811881,,0.876399360292438,0.5172098483409,23.2014143553018,0.095857827970297,,0.0600246321384585,1,4.0,NOT INPUTTED,14064.0,NOT INPUTTED,8968.0,-7765.0,-9098.0,,,,,,,0.180624268480936,5996.0,5996.0,,,,0.590153155940594,21505.0,30207.0,35933.0,16819.0,11314.0,311.0,959.0,493.0,815.0,0.107624928202183,6459.0,17630.0,6564.0,18591.0,21505.0,64066.0,64066.0,26852.0,10424.0,4479.0,2727.0,0.692335039817975,0.707261255480697,-0.514424046802502,0.904142172029703,0.095857827970297,15427.0,9737.0,14064.0,-8662.0,,0.0498530321782178,0.0498530321782178,0.170179547228728,0.911648408634213
NASDAQ:MKTO,MKTO,2012-10-01 00:00:00,2012Q4,,7446.0,9325.0,4964.0,3027.0,121.0,166.0,184.0,341.0,,2000.0,67388.0,9116.0,0.818713450292398,,0.660457323082988,0.660457323082988,NOT IN CURRENT,-0.495819935691318,,0.565204487445836,0.54110524128925,0.279456283017748,0.157950970499199,0.978512494806197,-0.413308007360361,-0.304089748916721,0.544896392939371,38.9638364528697,0.0923012999347065,,0.857303971033418,0.142696028966582,194.513274336283,5657.0,,58413.0,36756.0,-2616.0,34140.0,36688.0,18020.0,10271.0,64979.0,-30839.0,-28202.0,1.20202413390424,,-0.462435920098992,0.628079365894578,0.308492972454762,0.175834146508483,1.11240648485782,-0.527947545922997,-0.482803485525482,0.76813297033959,0.448942180805533,26.729499951349,0.0968448804204543,0.128447434646397,0.0481984923131715,1,4.0,NOT INPUTTED,15292.0,NOT INPUTTED,9522.0,-4484.0,-5123.0,44247.0,33.694,,,,0.803315633489751,0.356367574166267,5680.0,5680.0,198.784660766962,,0.803315633489751,0.584458938934826,24658.0,33755.0,37776.0,18799.0,11388.0,385.0,966.0,575.0,1046.0,0.0920464121345692,7325.0,16485.0,7446.0,17316.0,24658.0,67963.0,67963.0,26804.0,9116.0,4708.0,2661.0,0.673097044206121,0.69671696110395,-0.462435920098992,0.903155119579546,0.0968448804204543,16847.0,10293.0,15292.0,-6963.0,,0.0508790851351583,0.0508790851351583,-0.00837988826815639,0.907698700065294
